primary_unit_encoded,skill_encoded,jaccard_followers,jaccard_followees,num_followers_s,num_followees_s,num_followers_d,num_followees_d,inter_followers,inter_followees,adar_index,follows_back,same_comp,shortest_path,page_rank_s,page_rank_d,katz_s,katz_d,hubs_s,hubs_d,authorities_s,authorities_d,indicator_link,svd_u_s_1,svd_u_s_2,svd_u_s_3,svd_u_d_1,svd_u_d_2,svd_u_d_3,svd_v_s_1,svd_v_s_2,svd_v_s_3,svd_v_d_1,svd_v_d_2,svd_v_d_3
143,50,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,-2.7755575615628914e-17,3.191891195797325e-16,0.0,2.2005612406917778e-17,1.3627550133121008e-18,-1.9039688983884628e-17,0.0,0.0,0.0,-7.461358932677624e-18,7.322700611188282e-17,0.0
144,8,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,5.582638924543563e-18,-7.702649926902526e-18,-1.3574356598587828e-17,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
146,79,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,-2.511378343043347e-17,1.8301064345923936e-17,2.099821768015708e-17,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
142,36,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,-1.8149899296692936e-17,1.2457913440259241e-17,1.9194558395093164e-17,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
144,39,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,4.205316719880922e-18,3.523760587908949e-18,6.633902055335066e-19,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
144,5,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,-6.171155495844252e-18,-1.9632567491404268e-18,1.4614377432415639e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
144,14,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,-4.0479362152333306e-17,-5.9400867086995706e-18,8.613190304590608e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
146,123,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,-2.154630023831737e-17,7.156857491764521e-18,1.8647024106570354e-17,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
144,6,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,1.1712599343131545e-17,-3.5267066905926086e-18,-7.338935232565782e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
146,122,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,7.400873472274564e-18,8.694687173754725e-19,-8.21741246509249e-18,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
144,76,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,-1.6889556255251442e-17,-7.068572526353564e-19,3.0397871848025036e-17,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
142,69,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,1.3256076888431999e-19,1.0749880900515755e-20,-5.0255638453936294e-20,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
145,119,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,4.160407225065424e-18,-5.226413473262697e-20,-1.6504132003658997e-18,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
148,58,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,5.204170427930421e-17,-9.71445146547012e-17,-1.3877787807814457e-17,3.787734441375148e-17,1.126090296739288e-17,8.535097037866085e-18,0.0,0.0,0.0,1.3990047998770543e-17,-2.2286480121007814e-17,-3.0906544188990445e-18
144,73,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,-4.601822348727242e-17,2.0475120080616992e-17,2.436784836075406e-17,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
143,42,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,-2.7755575615628914e-17,3.191891195797325e-16,0.0,5.1809272514452504e-17,-9.559122400893234e-19,-2.2113744555577553e-17,0.0,0.0,0.0,-7.461358932677624e-18,7.322700611188282e-17,0.0
142,53,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,2.5063262658299792e-17,5.592076213220967e-18,-1.0679188946547955e-17,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
144,105,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,1.7049753027863547e-17,-1.4689514275413003e-18,-1.1312499856744695e-17,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
142,118,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,1.9490695863998324e-17,7.386130368595237e-18,-7.309832558540254e-18,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
142,128,0.0,0.0,0,20,2,0,0,0,0,0,0,-1,0.010758488393719871,0.01186889213421814,0.10671436394391956,0.10778150758335876,0.8603794953634132,0.0,0.0,0.05218585585217586,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,1.2906180997049021e-17,1.3488103285224627e-18,-4.9467529794336185e-18,0.0,0.0,0.0,-0.22229179084965653,-7.163511467466797e-16,-0.25550283799332774
145,113,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,9.994164510922255e-18,-9.485559366478237e-19,-6.630915476618291e-18,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
142,93,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,-2.425739078067009e-17,-4.139411998466351e-18,9.599087227168668e-18,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
143,136,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,-2.7755575615628914e-17,3.191891195797325e-16,0.0,4.8258536410916617e-17,-5.777393209337572e-18,-1.8992765181503702e-17,0.0,0.0,0.0,-7.461358932677624e-18,7.322700611188282e-17,0.0
146,49,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,2.081059057202654e-17,-1.4449731057738816e-17,-2.541838443763957e-17,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
145,46,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,-1.9001946953324848e-17,6.430718813354572e-18,4.503605846433407e-18,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
142,101,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,1.468096228780869e-17,7.915848432511542e-19,-1.0295184282890333e-17,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
145,26,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,-2.0678677789962554e-17,8.272627140607613e-18,8.560096611977694e-18,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
145,103,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,-6.210994340530969e-17,6.772025716188733e-18,2.2381390383939418e-17,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
143,135,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,-2.7755575615628914e-17,3.191891195797325e-16,0.0,-4.894406687698345e-18,-2.8995171837598963e-18,-1.7274676668609364e-18,0.0,0.0,0.0,-7.461358932677624e-18,7.322700611188282e-17,0.0
146,81,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,2.2847260964081597e-17,1.6821408879490905e-18,-1.4210713927925385e-17,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
142,51,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,-3.600037258652737e-17,3.486731118966363e-18,1.838394379265967e-17,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
142,116,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,1.704086389472831e-17,5.12266615915173e-18,2.762208368705034e-19,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
144,70,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,1.0572736488565545e-17,2.1021765432162642e-18,-4.4875770490877985e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
145,22,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,1.3478983718960946e-17,-3.4353830890260486e-18,-1.0469509713463048e-17,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
142,12,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,7.907804469396997e-18,9.909998848686263e-19,-3.742283745398342e-18,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
146,29,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,2.1505060183130934e-17,9.375757684907311e-18,-5.373619632439823e-18,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
142,3,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,6.689048066684503e-17,-3.749625237538596e-18,-7.235555661912731e-19,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
146,92,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011411667064601208,0.10671436394391956,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0,-0.9870874576374968,-6.800116025829084e-16,-0.16018224300696735,4.581733059542086e-18,9.665440389584912e-19,-3.99475246186181e-18,0.0,0.0,0.0,-0.26535258794021943,-1.560053608470547e-16,-0.03567340587956504
145,62,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,2.770956033091092e-17,-1.6088341626260332e-17,-6.5105713889041955e-18,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
147,35,0.0,0.0,0,3,1,0,0,0,0,0,0,-1,0.010758488393719871,0.013806655524499431,0.10671436394391956,0.10724793576363913,1.2504453826644518e-217,0.0,0.0,4.3856698171839893e-218,1.0,0.0,1.457167719820518e-16,-1.6653345369377348e-16,-8.535167979510049e-19,3.1534615934555993e-19,5.612717692495767e-19,0.0,0.0,0.0,0.0,3.342972018151172e-17,-3.708785302678854e-17
143,139,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,-2.7755575615628914e-17,3.191891195797325e-16,0.0,2.894089716453598e-17,-3.3245199440889077e-18,-5.108346861325762e-18,0.0,0.0,0.0,-7.461358932677624e-18,7.322700611188282e-17,0.0
144,75,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,-1.7086409218808773e-17,-1.9465195304830323e-18,4.731769704963948e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
142,13,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011215713463336809,0.10671436394391956,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0,0.16018224300696732,-2.4424906541753444e-15,-0.9870874576374965,-2.557628293538199e-17,1.0033379058825836e-17,1.8939687279052004e-17,0.0,0.0,0.0,0.043060797090562944,-5.603457858996251e-16,-0.2198294321137627
147,121,0.0,0.0,0,3,1,0,0,0,0,0,0,-1,0.010758488393719871,0.013806655524499431,0.10671436394391956,0.10724793576363913,1.2504453826644518e-217,0.0,0.0,4.3856698171839893e-218,1.0,0.0,1.457167719820518e-16,-1.6653345369377348e-16,-1.6513884241036713e-17,-2.7070795335942503e-18,1.2797940934548706e-18,0.0,0.0,0.0,0.0,3.342972018151172e-17,-3.708785302678854e-17
144,126,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,5.0036535808355535e-17,1.5083429431581004e-17,2.2673840692351717e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
148,104,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,5.204170427930421e-17,-9.71445146547012e-17,-1.3877787807814457e-17,2.2898788664196273e-17,-3.0162718974088578e-18,-1.5492137320405095e-17,0.0,0.0,0.0,1.3990047998770543e-17,-2.2286480121007814e-17,-3.0906544188990445e-18
145,112,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011461911577745924,0.10671436394391956,0.10724793576363913,8.799425021205392e-51,0.0,0.0,7.122023497649265e-52,1.0,5.051514762044462e-15,6.661338147750939e-16,-1.1102230246251565e-16,2.3278696521587214e-17,-4.919032622995872e-18,-7.647679078461587e-18,0.0,0.0,0.0,1.3579673257473273e-15,1.52821577972625e-16,-2.4725235351192356e-17
148,10,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,5.204170427930421e-17,-9.71445146547012e-17,-1.3877787807814457e-17,-1.1841938668531297e-17,-4.664268821783612e-18,4.278842697817082e-18,0.0,0.0,0.0,1.3990047998770543e-17,-2.2286480121007814e-17,-3.0906544188990445e-18
148,48,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719871,0.012282571959109652,0.10671436394391956,0.10724793576363913,9.266667733495828e-139,0.0,0.0,1.6250427866776748e-139,1.0,5.204170427930421e-17,-9.71445146547012e-17,-1.3877787807814457e-17,-8.35894353400551e-18,5.008226355998835e-19,1.2675849646643336e-18,0.0,0.0,0.0,1.3990047998770543e-17,-2.2286480121007814e-17,-3.0906544188990445e-18
144,7,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719871,0.011239777940685066,0.10671436394391956,0.10724793576363913,1.3327216114960895e-07,0.0,0.0,7.380372786340542e-09,1.0,-2.42861286636753e-16,0.9999999999999999,-2.58778615487842e-15,-1.0517870789094566e-17,-1.690585051695015e-17,7.811865274199602e-18,0.0,0.0,0.0,-6.52868906609292e-17,0.22941573387056172,-5.763132298533331e-16
